{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :49.19390106, Longitude: -123.1839981},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :59.65190125, Longitude: 17.91860008},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :59.65190125, Longitude: 17.91860008},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :59.65190125, Longitude: 17.91860008},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :59.65190125, Longitude: 17.91860008},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :59.65190125, Longitude: 17.91860008},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.90140152, Longitude: 4.48443985},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.90140152, Longitude: 4.48443985},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :55.61790085, Longitude: 12.65600014},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :50.033333, Longitude: 8.570556},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :40.97689819, Longitude: 28.81459999},2
{ Latitude: 13.68109989, Longitude: 100.7470016 }, {Latitude :40.97689819, Longitude: 28.81459999},2
